wave,tp
   2882.00,0.00000000
   2883.00,0.00002753
   2888.95,0.00029757
   2894.68,0.00056881
   2900.40,0.00084597
   2906.12,0.00113374
   2911.85,0.00143692
   2917.57,0.00178067
   2923.30,0.00223089
   2929.02,0.00285771
   2934.74,0.00373054
   2940.47,0.00490992
   2946.19,0.00635861
   2951.91,0.00797822
   2957.64,0.00967031
   2963.36,0.01133734
   2969.09,0.01288264
   2974.81,0.01421039
   2980.53,0.01525388
   2986.26,0.01604849
   2991.98,0.01665289
   2997.70,0.01712530
   3003.43,0.01752334
   3009.15,0.01790412
   3014.87,0.01832423
   3020.60,0.01883733
   3026.32,0.01945383
   3032.05,0.02014696
   3037.77,0.02088907
   3043.49,0.02165270
   3049.22,0.02241062
   3054.94,0.02313743
   3060.66,0.02382238
   3066.39,0.02446271
   3072.11,0.02505582
   3077.83,0.02559912
   3083.56,0.02609007
   3089.28,0.02652608
   3095.01,0.02690715
   3100.73,0.02724048
   3106.45,0.02753466
   3112.18,0.02779811
   3117.90,0.02803924
   3123.62,0.02826638
   3129.35,0.02848776
   3135.07,0.02871158
   3140.79,0.02894592
   3146.52,0.02919880
   3152.24,0.02947823
   3157.97,0.02979184
   3163.69,0.03014057
   3169.41,0.03051864
   3175.14,0.03092005
   3180.86,0.03133875
   3186.58,0.03176886
   3192.31,0.03220449
   3198.03,0.03263985
   3203.76,0.03306909
   3209.48,0.03348649
   3215.20,0.03388639
   3220.93,0.03426315
   3226.65,0.03461389
   3232.37,0.03494074
   3238.10,0.03524631
   3243.82,0.03553317
   3249.54,0.03580390
   3255.27,0.03606106
   3260.99,0.03630717
   3266.72,0.03654476
   3272.44,0.03677628
   3278.16,0.03700422
   3283.89,0.03723100
   3289.61,0.03745853
   3295.33,0.03768732
   3301.06,0.03791765
   3306.78,0.03814977
   3312.50,0.03838396
   3318.23,0.03862049
   3323.95,0.03885966
   3329.68,0.03910177
   3335.40,0.03934705
   3341.12,0.03959582
   3346.85,0.03984830
   3352.57,0.04010467
   3358.29,0.04036449
   3364.02,0.04062698
   3369.74,0.04089152
   3375.46,0.04115727
   3381.19,0.04142366
   3386.91,0.04168992
