wave,tp
   9700.66,0.00000000
   9701.66,0.00000000
   9702.66,0.00009870
   9802.69,0.00030409
   9902.71,0.00026320
  10002.74,0.00040984
  10102.77,0.00080883
  10202.80,0.00107341
  10302.82,0.00274609
  10402.85,0.00448200
  10502.88,0.01023639
  10602.90,0.02087796
  10702.93,0.03265449
  10802.96,0.10045822
  10902.99,0.14650148
  11003.01,0.20783220
  11103.04,0.26449475
  11203.07,0.28567764
  11303.09,0.28864154
  11403.12,0.29380360
  11503.15,0.29283857
  11603.17,0.29686922
  11703.20,0.31180486
  11803.23,0.31909078
  11903.26,0.32138571
  12003.28,0.32274792
  12103.31,0.33264622
  12203.34,0.34687462
  12303.37,0.34888518
  12403.39,0.34802395
  12503.42,0.35915753
  12603.45,0.34164459
  12703.47,0.34975132
  12803.50,0.35447720
  12903.53,0.36620203
  13003.56,0.38012514
  13103.58,0.38134101
  13203.61,0.36308461
  13303.64,0.36548591
  13403.66,0.38010135
  13503.69,0.38958976
  13603.72,0.39455220
  13703.75,0.37529886
  13803.77,0.38997626
  13903.80,0.39415610
  14003.83,0.39539543
  14103.86,0.39381507
  14203.88,0.38717595
  14303.91,0.38564625
  14403.94,0.39288023
  14503.96,0.37296331
  14603.99,0.38917258
  14704.02,0.38918251
  14804.04,0.39763123
  14904.07,0.38881105
  15004.10,0.39047980
  15104.13,0.38596290
  15204.15,0.39273524
  15304.18,0.37967744
  15404.21,0.38302642
  15504.24,0.38503742
  15604.26,0.37785819
  15704.29,0.38529861
  15804.32,0.39620140
  15904.34,0.38698456
  16004.37,0.39118809
  16104.40,0.38445535
  16204.43,0.38560706
  16304.45,0.38007635
  16404.48,0.37244892
  16504.51,0.37497291
  16604.53,0.35998064
  16704.56,0.28359166
  16804.59,0.19427919
  16904.62,0.11726500
  17004.64,0.07646900
  17104.67,0.05296900
  17204.70,0.03637800
  17304.70,0.02561500
  17404.80,0.02152600
  17504.80,0.02843500
  17604.80,0.03261800
  17704.80,0.03379300
  17804.90,0.05348600
  17904.90,0.06509500
  17905.90,0.00000000
  17906.90,0.00000000
