wave,tp
   1900.00,0.00690000
   2000.00,0.01420000
   2100.00,0.02250000
   2200.00,0.03410000
   2300.00,0.05140000
   2400.00,0.05330000
   2500.00,0.05340000
   2600.00,0.04840000
   2700.00,0.04180000
   2800.00,0.04130000
   2900.00,0.04640000
   3000.00,0.04940000
   3100.00,0.04590000
   3200.00,0.04500000
   3300.00,0.04180000
   3400.00,0.04230000
   3500.00,0.03890000
   3600.00,0.03670000
   3700.00,0.03480000
   3800.00,0.03870000
   3900.00,0.03820000
   4000.00,0.03950000
   4200.00,0.03820000
   4400.00,0.03720000
   4600.00,0.03570000
   4800.00,0.03490000
   5000.00,0.03350000
   6000.00,0.02480000
   7000.00,0.01140000
   8000.00,0.00980000
   9000.00,0.00510000
  10000.00,0.00100000
