wave,tp
  50000.00,0.11529003
  50177.62,0.12229199
  50355.24,0.12934663
  50532.86,0.13645408
  50710.48,0.14115309
  50888.10,0.14563188
  51065.72,0.15015384
  51243.34,0.15470956
  51420.96,0.15929824
  51598.58,0.16392065
  51776.20,0.17151651
  51953.83,0.18006681
  52131.45,0.18850156
  52309.07,0.19678641
  52486.69,0.20418970
  52664.31,0.20899171
  52841.93,0.21382676
  53019.55,0.21826674
  53197.17,0.22123292
  53374.79,0.22421700
  53552.41,0.22721701
  53730.03,0.23022279
  53907.65,0.23396588
  54085.27,0.23820029
  54262.89,0.24170681
  54440.51,0.24385893
  54618.13,0.24598979
  54795.75,0.24756650
  54973.37,0.25397067
  55150.99,0.25644324
  55328.61,0.25820458
  55506.23,0.25997271
  55683.85,0.26139175
  55861.48,0.26278501
  56039.10,0.26418111
  56216.72,0.26557791
  56394.34,0.26697838
  56571.96,0.26838784
  56749.58,0.26953638
  56927.20,0.27060962
  57104.82,0.27168780
  57282.44,0.27276940
  57460.06,0.27385199
  57637.68,0.27493581
  57815.30,0.27602067
  57992.92,0.27710668
  58170.54,0.27833355
  58348.16,0.27970805
  58525.78,0.28108760
  58703.40,0.28247739
  58881.02,0.28387078
  59058.64,0.28526732
  59236.26,0.28666595
  59413.88,0.28806575
  59591.50,0.28944180
  59769.13,0.29079781
  59946.75,0.29215563
  60124.37,0.29342443
  60301.99,0.29458555
  60479.61,0.29561649
  60657.23,0.29664143
  60834.85,0.29766634
  61012.47,0.29869275
  61190.09,0.29972298
  61367.71,0.30075464
  61545.33,0.30178292
  61722.95,0.30279875
  61900.57,0.30381579
  62078.19,0.30483551
  62255.81,0.30585848
  62433.43,0.30688297
  62611.05,0.30789678
  62788.67,0.30890196
  62966.29,0.30990729
  63143.91,0.31093137
  63321.53,0.31196085
  63499.15,0.31303084
  63676.78,0.31413488
  63854.40,0.31524051
  64032.02,0.31634948
  64209.64,0.31746745
  64387.26,0.31858678
  64564.88,0.31970837
  64742.50,0.32083377
  64920.12,0.32196110
  65097.74,0.32247717
  65275.36,0.32244145
  65452.98,0.32239478
  65630.60,0.32235932
  65808.22,0.32233629
  65985.84,0.32231324
  66163.46,0.32228432
  66341.08,0.32225443
  66518.70,0.32222308
  66696.32,0.32217718
  66873.94,0.32213102
  67051.56,0.32209271
  67229.18,0.32207355
  67406.80,0.32205393
  67584.43,0.32203039
  67762.05,0.32200145
  67939.67,0.32197244
  68117.29,0.32195631
  68294.91,0.32194561
  68472.53,0.32192627
  68650.15,0.32188780
  68827.77,0.32184833
  69005.39,0.32180901
  69183.01,0.32177609
  69360.63,0.32174312
  69538.25,0.32171115
  69715.87,0.32168261
  69893.49,0.32165382
  70071.11,0.32172067
  70248.73,0.32193101
  70426.35,0.32214185
  70603.97,0.32234647
  70781.59,0.32254725
  70959.21,0.32274759
  71136.83,0.32295312
  71314.45,0.32316676
  71492.08,0.32338813
  71669.70,0.32361799
  71847.32,0.32384816
  72024.94,0.32407987
  72202.56,0.32432057
  72380.18,0.32452771
  72557.80,0.32472386
  72735.42,0.32492163
  72913.04,0.32511980
  73090.66,0.32533175
  73268.28,0.32555673
  73445.90,0.32578179
  73623.52,0.32601077
  73801.14,0.32624196
  73978.76,0.32647324
  74156.38,0.32671766
  74334.00,0.32694528
  74511.62,0.32716747
  74689.24,0.32739785
  74866.86,0.32762853
  75044.48,0.32806456
  75222.10,0.32911439
  75399.73,0.33016580
  75577.35,0.33122562
  75754.97,0.33229527
  75932.59,0.33336693
  76110.21,0.33444582
  76287.83,0.33552947
  76465.45,0.33661475
  76643.07,0.33769564
  76820.69,0.33876254
  76998.31,0.33976525
  77175.93,0.34076545
  77353.55,0.34176334
  77531.17,0.34275519
  77708.79,0.34372595
  77886.41,0.34469745
  78064.03,0.34565983
  78241.65,0.34660569
  78419.27,0.34755235
  78596.89,0.34849106
  78774.51,0.34942373
  78952.13,0.35035721
  79129.75,0.35125873
  79307.38,0.35214877
  79485.00,0.35303938
  79662.62,0.35392738
  79840.24,0.35481550
  80017.86,0.35563683
  80195.48,0.35586017
  80373.10,0.35610084
  80550.72,0.35634212
  80728.34,0.35658810
  80905.96,0.35687468
  81083.58,0.35717068
  81261.20,0.35747727
  81438.82,0.35778420
  81616.44,0.35811839
  81794.06,0.35846667
  81971.68,0.35881596
  82149.30,0.35918416
  82326.92,0.35955632
  82504.54,0.35992949
  82682.16,0.36033671
  82859.78,0.36074456
  83037.40,0.36114544
  83215.03,0.36151890
  83392.65,0.36188002
  83570.27,0.36224290
  83747.89,0.36260769
  83925.51,0.36297290
  84103.13,0.36333136
  84280.75,0.36370747
  84458.37,0.36408399
  84635.99,0.36447051
  84813.61,0.36485959
  84991.23,0.36524978
  85168.85,0.36531864
  85346.47,0.36537035
  85524.09,0.36542371
  85701.71,0.36548596
  85879.33,0.36555199
  86056.95,0.36562958
  86234.57,0.36572173
  86412.19,0.36581388
  86589.81,0.36590856
  86767.43,0.36600623
  86945.05,0.36610348
  87122.68,0.36618615
  87300.30,0.36626234
  87477.92,0.36633853
  87655.54,0.36643509
  87833.16,0.36653467
  88010.78,0.36663438
  88188.40,0.36672900
  88366.02,0.36682415
  88543.64,0.36692230
  88721.26,0.36702954
  88898.88,0.36711514
  89076.50,0.36717152
  89254.12,0.36720279
  89431.74,0.36723376
  89609.36,0.36724975
  89786.98,0.36725610
  89964.60,0.36726192
  90142.22,0.36690657
  90319.84,0.36646105
  90497.46,0.36601512
  90675.08,0.36554787
  90852.70,0.36508029
  91030.33,0.36460943
  91207.95,0.36412404
  91385.57,0.36363883
  91563.19,0.36314504
  91740.81,0.36263472
  91918.43,0.36212853
  92096.05,0.36162989
  92273.67,0.36113595
  92451.29,0.36064210
  92628.91,0.36018664
  92806.53,0.35974543
  92984.15,0.35926031
  93161.77,0.35877770
  93339.39,0.35829887
  93517.01,0.35782116
  93694.63,0.35735655
  93872.25,0.35689190
  94049.87,0.35644267
  94227.49,0.35603334
  94405.11,0.35562358
  94582.73,0.35522560
  94760.35,0.35484059
  94937.98,0.35443372
  95115.60,0.35450860
  95293.22,0.35484562
  95470.84,0.35518288
  95648.46,0.35554199
  95826.08,0.35590578
  96003.70,0.35626925
  96181.32,0.35653065
  96358.94,0.35657871
  96536.56,0.35662779
  96714.18,0.35668328
  96891.80,0.35673852
  97069.42,0.35679800
  97247.04,0.35686408
  97424.66,0.35692948
  97602.28,0.35698640
  97779.90,0.35703651
  97957.52,0.35708637
  98135.14,0.35711297
  98312.76,0.35713138
  98490.38,0.35702980
  98668.00,0.35681854
  98845.63,0.35660543
  99023.25,0.35638904
  99200.87,0.35615760
  99378.49,0.35592498
  99556.11,0.35568466
  99733.73,0.35542948
  99911.35,0.35517363
 100088.97,0.35461498
 100266.59,0.35340601
 100444.21,0.35173695
 100621.83,0.35006718
 100799.45,0.34838574
 100977.07,0.34670218
 101154.69,0.34500984
 101332.31,0.34331817
 101509.93,0.34162849
 101687.55,0.33994093
 101865.17,0.33822739
 102042.79,0.33643041
 102220.41,0.33462676
 102398.03,0.33282528
 102575.65,0.33102645
 102753.28,0.32922980
 102930.90,0.32743610
 103108.52,0.32565022
 103286.14,0.32387038
 103463.76,0.32209659
 103641.38,0.32033544
 103819.00,0.31859082
 103996.62,0.31684805
 104174.24,0.31500511
 104351.86,0.31285533
 104529.48,0.31070839
 104707.10,0.30856436
 104884.72,0.30642302
 105062.34,0.30426514
 105239.96,0.30207504
 105417.58,0.29947704
 105595.20,0.29621462
 105772.82,0.29295742
 105950.44,0.28970548
 106128.06,0.28645956
 106305.68,0.28397072
 106483.30,0.28159166
 106660.93,0.27920954
 106838.55,0.27681738
 107016.17,0.27442531
 107193.79,0.27203610
 107371.41,0.26965093
 107549.03,0.26727020
 107726.65,0.26489362
 107904.27,0.26252621
 108081.89,0.26036540
 108259.51,0.25821545
 108437.13,0.25606895
 108614.75,0.25392599
 108792.37,0.25178722
 108969.99,0.24965151
 109147.61,0.24751860
 109325.23,0.24538908
 109502.85,0.24326056
 109680.47,0.24112972
 109858.09,0.23899768
 110035.71,0.23694110
 110213.33,0.23499375
 110390.95,0.23304921
 110568.58,0.23110747
 110746.20,0.22916823
 110923.82,0.22723199
 111101.44,0.22530561
 111279.06,0.22345731
 111456.68,0.22219670
 111634.30,0.22093788
 111811.92,0.21968039
 111989.54,0.21842451
 112167.16,0.21716580
 112344.78,0.21590878
 112522.40,0.21466053
 112700.02,0.21341822
 112877.64,0.21217839
 113055.26,0.21091372
 113232.88,0.20954617
 113410.50,0.20818038
 113588.12,0.20681604
 113765.74,0.20545348
 113943.36,0.20409270
 114120.98,0.20273786
 114298.60,0.20138648
 114476.23,0.20003666
 114653.85,0.19868844
 114831.47,0.19734175
 115009.09,0.19600348
 115186.71,0.19478556
 115364.33,0.19351960
 115541.95,0.19205407
 115719.57,0.19058882
 115897.19,0.18912379
 116074.81,0.18766193
 116252.43,0.18620425
 116430.05,0.18474664
 116607.67,0.18328889
