wave,tp
  24000.00,0.01035723
  24036.47,0.01417615
  24072.94,0.01901663
  24109.41,0.02514445
  24145.88,0.03258106
  24182.35,0.04123839
  24218.83,0.05050713
  24255.30,0.05978578
  24291.77,0.06883440
  24328.24,0.07764172
  24364.71,0.08629736
  24401.18,0.09397783
  24437.65,0.10057924
  24474.12,0.10577001
  24510.59,0.10944270
  24547.06,0.11182920
  24583.54,0.11363033
  24620.01,0.11513253
  24656.48,0.11650587
  24692.95,0.11786185
  24729.42,0.11924774
  24765.89,0.12072604
  24802.36,0.12205000
  24838.83,0.12319567
  24875.30,0.12444134
  24911.77,0.12563437
  24948.24,0.12678689
  24984.72,0.12788526
  25021.19,0.12641288
  25057.66,0.12733816
  25094.13,0.12818437
  25130.60,0.12900760
  25167.07,0.12983836
  25203.54,0.13072384
  25240.01,0.13169067
  25276.48,0.13276563
  25312.95,0.13390851
  25349.42,0.13514711
  25385.90,0.13636039
  25422.37,0.13741346
  25458.84,0.13841240
  25495.31,0.13918915
  25531.78,0.13978636
  25568.25,0.14036481
  25604.72,0.14061916
  25641.19,0.14104779
  25677.66,0.14176833
  25714.13,0.14271708
  25750.61,0.14369423
  25787.08,0.14499053
  25823.55,0.14659608
  25860.02,0.14863871
  25896.49,0.15095562
  25932.96,0.15309756
  25969.43,0.15557713
  26005.90,0.15799873
  26042.37,0.15938953
  26078.84,0.16088875
  26115.31,0.16205613
  26151.79,0.16269265
  26188.26,0.16375970
  26224.73,0.16456379
  26261.20,0.16495170
  26297.67,0.16544014
  26334.14,0.16628103
  26370.61,0.16740309
  26407.08,0.16831467
  26443.55,0.16937109
  26480.02,0.17063232
  26516.49,0.17159508
  26552.97,0.17303555
  26589.44,0.17423649
  26625.91,0.17503096
  26662.38,0.17559688
  26698.85,0.17651616
  26735.32,0.17789043
  26771.79,0.17836004
  26808.26,0.17957078
  26844.73,0.18002471
  26881.20,0.18106043
  26917.68,0.18186771
  26954.15,0.18238182
  26990.62,0.18365199
  27027.09,0.18484249
  27063.56,0.18630249
  27100.03,0.18719466
  27136.50,0.18882909
  27172.97,0.18988776
  27209.44,0.19063647
  27245.91,0.19175454
  27282.38,0.19314018
  27318.86,0.19391598
  27355.33,0.19417554
  27391.80,0.19441423
  27428.27,0.19560222
  27464.74,0.19598301
  27501.21,0.19652983
  27537.68,0.19625481
  27574.15,0.19632145
  27610.62,0.19694755
  27647.09,0.19760829
  27683.57,0.19848915
  27720.04,0.19962810
  27756.51,0.20109136
  27792.98,0.20280152
  27829.45,0.20424527
  27865.92,0.20555148
  27902.39,0.20747890
  27938.86,0.20901584
  27975.33,0.21043828
  28011.80,0.21181469
  28048.27,0.21277154
  28084.75,0.21390261
  28121.22,0.21461450
  28157.69,0.21517588
  28194.16,0.21601808
  28230.63,0.21659021
  28267.10,0.21715278
  28303.57,0.21775304
  28340.04,0.21821119
  28376.51,0.21851240
  28412.98,0.21940070
  28449.45,0.22005828
  28485.93,0.22069866
  28522.40,0.22117518
  28558.87,0.22146478
  28595.34,0.22177632
  28631.81,0.22197135
  28668.28,0.22264891
  28704.75,0.22307539
  28741.22,0.22355577
  28777.69,0.22397030
  28814.16,0.22436762
  28850.64,0.22468348
  28887.11,0.22475457
  28923.58,0.22527062
  28960.05,0.22592205
  28996.52,0.22638131
  29032.99,0.22664141
  29069.46,0.22686916
  29105.93,0.22694701
  29142.40,0.22713138
  29178.87,0.22742232
  29215.34,0.22757936
  29251.82,0.22757358
  29288.29,0.22778819
  29324.76,0.22758807
  29361.23,0.22726992
  29397.70,0.22667543
  29434.17,0.22648838
  29470.64,0.22635768
  29507.11,0.22619016
  29543.58,0.22569686
  29580.05,0.22519352
  29616.53,0.22470134
  29653.00,0.22427578
  29689.47,0.22392672
  29725.94,0.22367276
  29762.41,0.22407560
  29798.88,0.22402266
  29835.35,0.22376174
  29871.82,0.22353810
  29908.29,0.22368467
  29944.76,0.22386600
  29981.23,0.22403691
  30017.71,0.22415620
  30054.18,0.22382792
  30090.65,0.22363895
  30127.12,0.22348227
  30163.59,0.22333505
  30200.06,0.22310479
  30236.53,0.22246064
  30273.00,0.22168628
  30309.47,0.22096418
  30345.94,0.22059554
  30382.41,0.22039339
  30418.89,0.22008209
  30455.36,0.21992198
  30491.83,0.21997483
  30528.30,0.21963148
  30564.77,0.21926319
  30601.24,0.21895571
