wave,tp
  24800.00,0.00001500
  24850.47,0.00001557
  24900.94,0.00001569
  24951.41,0.00029874
  25001.88,0.00034762
  25052.35,0.00011146
  25102.82,0.00009989
  25153.29,0.00008684
  25203.76,0.00007342
  25254.22,0.00006007
  25304.69,0.00004697
  25355.16,0.00003531
  25405.63,0.00002535
  25456.10,0.00001735
  25506.57,0.00001159
  25557.04,0.00000745
  25607.51,0.00000450
  25657.98,0.00000286
  25708.45,0.00000193
  25758.92,0.00000137
  25809.39,0.00000108
  25859.86,0.00000098
  25910.33,0.00000092
  25960.80,0.00000075
  26011.27,0.00000065
  26061.74,0.00000086
  26112.21,0.00000106
  26162.67,0.00000069
  26213.14,0.00000059
  26263.61,0.00000058
  26314.08,0.00000067
  26364.55,0.00000074
  26415.02,0.00000070
  26465.49,0.00000065
  26515.96,0.00000068
  26566.43,0.00000083
  26616.90,0.00000111
  26667.37,0.00000124
  26717.84,0.00000087
  26768.31,0.00000047
  26818.78,0.00000071
  26869.25,0.00000049
  26919.72,0.00000033
  26970.19,0.00000040
  27020.66,0.00000045
  27071.12,0.00000067
  27121.59,0.00000074
  27172.06,0.00000044
  27222.53,0.00000041
  27273.00,0.00000062
  27323.47,0.00000055
  27373.94,0.00000058
  27424.41,0.00000060
  27474.88,0.00000063
  27525.35,0.00000057
  27575.82,0.00000039
  27626.29,0.00000036
  27676.76,0.00000050
  27727.23,0.00000075
  27777.70,0.00000057
  27828.17,0.00000054
  27878.64,0.00000076
  27929.11,0.00000056
  27979.57,0.00000034
  28030.04,0.00000054
  28080.51,0.00000070
  28130.98,0.00000073
  28181.45,0.00000079
  28231.92,0.00000058
  28282.39,0.00000041
  28332.86,0.00000039
  28383.33,0.00000029
  28433.80,0.00000037
  28484.27,0.00000050
  28534.74,0.00000044
  28585.21,0.00000029
  28635.68,0.00000020
  28686.15,0.00000039
  28736.62,0.00000055
  28787.09,0.00000043
  28837.56,0.00000039
  28888.02,0.00000035
  28938.49,0.00000019
  28988.96,0.00000016
  29039.43,0.00000010
  29089.90,0.00000045
  29140.37,0.00000044
  29190.84,0.00000050
  29241.31,0.00000077
  29291.78,0.00000073
  29342.25,0.00000075
  29392.72,0.00000081
  29443.19,0.00000072
  29493.66,0.00000078
  29544.13,0.00000074
  29594.60,0.00000076
  29645.07,0.00000074
  29695.54,0.00000059
  29746.01,0.00000082
  29796.47,0.00000082
  29846.94,0.00000058
  29897.41,0.00000059
  29947.88,0.00000075
  29998.35,0.00000060
  30048.82,0.00000060
  30099.29,0.00000055
  30149.76,0.00000052
  30200.23,0.00000058
  30250.70,0.00000053
  30301.17,0.00000079
  30351.64,0.00000071
  30402.11,0.00000069
  30452.58,0.00000107
  30503.05,0.00000124
  30553.52,0.00000131
  30603.99,0.00000117
  30654.45,0.00000110
  30704.92,0.00000099
  30755.39,0.00000078
  30805.86,0.00000088
  30856.33,0.00000071
  30906.80,0.00000089
  30957.27,0.00000140
  31007.74,0.00000134
  31058.21,0.00000091
  31108.68,0.00000092
  31159.15,0.00000089
  31209.62,0.00000102
  31260.09,0.00000171
  31310.56,0.00000232
  31361.03,0.00000252
  31411.50,0.00000282
  31461.97,0.00000314
  31512.44,0.00000295
  31562.90,0.00000290
  31613.37,0.00000268
  31663.84,0.00000177
  31714.31,0.00000111
  31764.78,0.00000055
  31815.25,0.00000027
  31865.72,0.00000020
  31916.19,0.00000068
  31966.66,0.00000114
  32017.13,0.00000140
  32067.60,0.00000181
  32118.07,0.00000167
  32168.54,0.00000152
  32219.01,0.00000150
  32269.48,0.00000127
  32319.95,0.00000114
  32370.42,0.00000117
  32420.89,0.00000153
  32471.35,0.00000217
  32521.82,0.00000243
  32572.29,0.00000207
  32622.76,0.00000248
  32673.23,0.00000279
  32723.70,0.00000282
  32774.17,0.00000269
  32824.64,0.00000282
  32875.11,0.00000278
  32925.58,0.00000248
  32976.05,0.00000193
  33026.52,0.00000183
  33076.99,0.00000201
  33127.46,0.00000232
  33177.93,0.00000226
  33228.40,0.00000162
  33278.87,0.00000144
  33329.34,0.00000184
  33379.80,0.00000246
  33430.27,0.00000264
  33480.74,0.00000235
  33531.21,0.00000255
  33581.68,0.00000320
  33632.15,0.00000366
  33682.62,0.00000373
  33733.09,0.00000440
  33783.56,0.00000456
  33834.03,0.00000461
  33884.50,0.00000525
  33934.97,0.00000542
  33985.44,0.00000558
  34035.91,0.00000579
  34086.38,0.00000595
  34136.85,0.00000566
  34187.32,0.00000513
  34237.79,0.00000458
  34288.25,0.00000482
  34338.72,0.00000503
  34389.19,0.00000536
  34439.66,0.00000518
  34490.13,0.00000402
  34540.60,0.00000361
  34591.07,0.00000435
  34641.54,0.00000487
  34692.01,0.00000440
  34742.48,0.00000392
  34792.95,0.00000412
  34843.42,0.00000444
  34893.89,0.00000481
  34944.36,0.00000508
  34994.83,0.00000383
  35045.30,0.00000344
  35095.77,0.00000416
  35146.23,0.00000364
  35196.70,0.00000352
  35247.17,0.00000418
  35297.64,0.00000446
  35348.11,0.00000451
  35398.58,0.00000477
  35449.05,0.00000496
  35499.52,0.00000542
  35549.99,0.00000548
  35600.46,0.00000594
  35650.93,0.00000640
  35701.40,0.00000734
  35751.87,0.00000834
  35802.34,0.00000862
  35852.81,0.00000870
  35903.28,0.00000895
  35953.75,0.00000948
  36004.22,0.00000998
  36054.68,0.00000980
  36105.15,0.00001014
  36155.62,0.00001130
  36206.09,0.00001185
  36256.56,0.00001223
  36307.03,0.00001310
  36357.50,0.00001362
  36407.97,0.00001492
  36458.44,0.00001671
  36508.91,0.00001746
  36559.38,0.00001771
  36609.85,0.00001835
  36660.32,0.00001986
  36710.79,0.00002176
  36761.26,0.00002427
  36811.73,0.00002754
  36862.20,0.00002995
  36912.67,0.00003335
  36963.13,0.00004005
  37013.60,0.00004858
  37064.07,0.00005829
  37114.54,0.00007044
  37165.01,0.00008738
  37215.48,0.00011067
  37265.95,0.00014124
  37316.42,0.00017909
  37366.89,0.00022878
  37417.36,0.00029168
  37467.83,0.00036769
  37518.30,0.00046329
  37568.77,0.00058228
  37619.24,0.00072815
  37669.71,0.00090587
  37720.18,0.00112143
  37770.65,0.00138210
  37821.12,0.00169585
  37871.58,0.00207953
  37922.05,0.00254959
  37972.52,0.00313153
  38022.99,0.00386518
  38073.46,0.00480608
  38123.93,0.00601931
  38174.40,0.00760546
  38224.87,0.00971084
  38275.34,0.01252967
  38325.81,0.01632120
  38376.28,0.02144678
  38426.75,0.02843910
  38477.22,0.03782831
  38527.69,0.05028272
