wave,tp
   8300.00,0.09632756
   8339.68,0.09931058
   8379.36,0.10215098
   8419.04,0.10524615
   8458.72,0.10826026
   8498.40,0.11132367
   8538.08,0.11466329
   8577.76,0.11794554
   8617.43,0.12134911
   8657.11,0.12458138
   8696.79,0.12788920
   8736.47,0.13111178
   8776.15,0.13445209
   8815.83,0.13778690
   8855.51,0.14139466
   8895.19,0.14536181
   8934.87,0.14911532
   8974.55,0.15266459
   9014.23,0.15644615
   9053.91,0.16032611
   9093.59,0.16427342
   9133.27,0.16808460
   9172.95,0.17212583
   9212.63,0.17624598
   9252.30,0.18007798
   9291.98,0.18412096
   9331.66,0.18817352
   9371.34,0.19213023
   9411.02,0.19615701
   9450.70,0.20030465
   9490.38,0.20430031
   9530.06,0.20813629
   9569.74,0.21230566
   9609.42,0.21611482
   9649.10,0.22027369
   9688.78,0.22414201
   9728.46,0.22803039
   9768.14,0.23197279
   9807.82,0.23596771
   9847.49,0.23968223
   9887.17,0.24348882
   9926.85,0.24728054
   9966.53,0.25087113
  10006.21,0.25450860
  10045.89,0.25830454
  10085.57,0.26185455
  10125.25,0.26544294
  10164.93,0.26911584
  10204.61,0.27253571
  10244.29,0.27587282
  10283.97,0.27921950
  10323.65,0.28268900
  10363.33,0.28582127
  10403.01,0.28890328
  10442.69,0.29185956
  10482.36,0.29508942
  10522.04,0.29795850
  10561.72,0.30089421
  10601.40,0.30375774
  10641.08,0.30689470
  10680.76,0.30959081
  10720.44,0.31233645
  10760.12,0.31500880
  10799.80,0.31797251
  10839.48,0.32053194
  10879.16,0.32336741
  10918.84,0.32609809
  10958.52,0.32841635
  10998.20,0.33062284
  11037.88,0.33323735
  11077.56,0.33549478
  11117.23,0.33752384
  11156.91,0.33981806
  11196.59,0.34172790
  11236.27,0.34382692
  11275.95,0.34552703
  11315.63,0.34715653
  11355.31,0.34904152
  11394.99,0.35039247
  11434.67,0.35196407
  11474.35,0.35345210
  11514.03,0.35466770
  11553.71,0.35569386
  11593.39,0.35670778
  11633.07,0.35777321
  11672.75,0.35887971
  11712.42,0.35991727
  11752.10,0.36061179
  11791.78,0.36109178
  11831.46,0.36153417
  11871.14,0.36257930
  11910.82,0.36306566
  11950.50,0.36317297
  11990.18,0.36383343
  12029.86,0.36442306
  12069.54,0.36484611
  12109.22,0.36501482
  12148.90,0.36500988
  12188.58,0.36548035
  12228.26,0.36530029
  12267.94,0.36535527
  12307.62,0.36510667
  12347.29,0.36527760
  12386.97,0.36500610
  12426.65,0.36474546
  12466.33,0.36450031
  12506.01,0.36487944
  12545.69,0.36431622
  12585.37,0.36361864
  12625.05,0.36300672
  12664.73,0.36259162
  12704.41,0.36174054
  12744.09,0.36139974
  12783.77,0.36097036
  12823.45,0.35979193
  12863.13,0.35929866
  12902.81,0.35881775
  12942.48,0.35803732
  12982.16,0.35720832
  13021.84,0.35674068
  13061.52,0.35616888
  13101.20,0.35526246
  13140.88,0.35428172
  13180.56,0.35358009
  13220.24,0.35252653
  13259.92,0.35143099
  13299.60,0.35035654
  13339.28,0.34963206
  13378.96,0.34853938
  13418.64,0.34777059
  13458.32,0.34672241
  13498.00,0.34561764
  13537.68,0.34486281
  13577.35,0.34379122
  13617.03,0.34266973
  13656.71,0.34134496
  13696.39,0.34008209
  13736.07,0.33916896
  13775.75,0.33804036
  13815.43,0.33662217
  13855.11,0.33565015
  13894.79,0.33458755
  13934.47,0.33344055
  13974.15,0.33261105
  14013.83,0.33139672
  14053.51,0.33012606
  14093.19,0.32857928
  14132.87,0.32745184
  14172.55,0.32628172
  14212.22,0.32501527
  14251.90,0.32376069
  14291.58,0.32251287
  14331.26,0.32163671
  14370.94,0.32039946
  14410.62,0.31918277
  14450.30,0.31774010
  14489.98,0.31641329
  14529.66,0.31555310
  14569.34,0.31406260
  14609.02,0.31303892
  14648.70,0.31138473
  14688.38,0.31028594
  14728.06,0.30906814
  14767.74,0.30786157
  14807.41,0.30648425
  14847.09,0.30530861
  14886.77,0.30432764
  14926.45,0.30310842
  14966.13,0.30186614
  15005.81,0.30032381
  15045.49,0.29925133
  15085.17,0.29820573
  15124.85,0.29719723
  15164.53,0.29604396
  15204.21,0.29484817
  15243.89,0.29386551
  15283.57,0.29268267
  15323.25,0.29140356
  15362.93,0.29065590
  15402.61,0.28936469
  15442.28,0.28859924
  15481.96,0.28732475
  15521.64,0.28666241
  15561.32,0.28547427
  15601.00,0.28432064
  15640.68,0.28336303
  15680.36,0.28267591
  15720.04,0.28144488
  15759.72,0.28050132
  15799.40,0.27978291
  15839.08,0.27864819
  15878.76,0.27771263
  15918.44,0.27661394
  15958.12,0.27570775
  15997.80,0.27490644
  16037.47,0.27437322
  16077.15,0.27329307
  16116.83,0.27226620
  16156.51,0.27142930
  16196.19,0.27073802
  16235.87,0.26997641
  16275.55,0.26925207
  16315.23,0.26853306
  16354.91,0.26782317
  16394.59,0.26708902
  16434.27,0.26620072
  16473.95,0.26534924
  16513.63,0.26477194
  16553.31,0.26394422
  16592.99,0.26326884
  16632.67,0.26247747
  16672.34,0.26185882
  16712.02,0.26129694
  16751.70,0.26030515
  16791.38,0.25995631
  16831.06,0.25937330
  16870.74,0.25871871
  16910.42,0.25811156
  16950.10,0.25743738
  16989.78,0.25671057
  17029.46,0.25594811
  17069.14,0.25512350
  17108.82,0.25454913
  17148.50,0.25378881
  17188.18,0.25323743
  17227.86,0.25257366
  17267.54,0.25204426
  17307.21,0.25149619
  17346.89,0.25088346
  17386.57,0.25024007
  17426.25,0.24965027
  17465.93,0.24908669
  17505.61,0.24849547
  17545.29,0.24791280
  17584.97,0.24728824
  17624.65,0.24644376
  17664.33,0.24581074
  17704.01,0.24516880
  17743.69,0.24450744
  17783.37,0.24382397
  17823.05,0.24325568
  17862.73,0.24259982
  17902.40,0.24194426
  17942.08,0.24129027
  17981.76,0.24060823
  18021.44,0.23998108
  18061.12,0.23934357
  18100.80,0.23876413
  18140.48,0.23794779
  18180.16,0.23730091
  18219.84,0.23663520
  18259.52,0.23600108
  18299.20,0.23534329
  18338.88,0.23483265
  18378.56,0.23425985
  18418.24,0.23346874
  18457.92,0.23291694
  18497.60,0.23255741
  18537.27,0.23193687
  18576.95,0.23114056
  18616.63,0.23059876
  18656.31,0.22991805
  18695.99,0.22917332
  18735.67,0.22823398
  18775.35,0.22750093
  18815.03,0.22680215
  18854.71,0.22611663
  18894.39,0.22543392
  18934.07,0.22478288
  18973.75,0.22423556
  19013.43,0.22380366
  19053.11,0.22301493
  19092.79,0.22226410
  19132.46,0.22173307
  19172.14,0.22098074
  19211.82,0.22015192
  19251.50,0.21970915
  19291.18,0.21884814
  19330.86,0.21813819
  19370.54,0.21751046
  19410.22,0.21686410
  19449.90,0.21623909
  19489.58,0.21560139
  19529.26,0.21506454
  19568.94,0.21430599
  19608.62,0.21367776
  19648.30,0.21304717
  19687.98,0.21255167
  19727.66,0.21205781
  19767.33,0.21143222
  19807.01,0.21084313
  19846.69,0.21030500
  19886.37,0.20978880
  19926.05,0.20936533
  19965.73,0.20899952
  20005.41,0.20946381
  20045.09,0.20926939
  20084.77,0.20913660
  20124.45,0.20907759
  20164.13,0.20905298
  20203.81,0.20905677
  20243.49,0.20910641
  20283.17,0.20918891
  20322.85,0.20933021
  20362.53,0.20945632
  20402.20,0.20959502
  20441.88,0.20974940
  20481.56,0.21011209
  20521.24,0.21026590
  20560.92,0.21031472
