wave,tp
   8243.47,0.10472985
   8252.40,0.10525173
   8261.33,0.10576154
   8270.26,0.10621468
   8279.19,0.10671335
   8288.12,0.10722190
   8297.06,0.10775638
   8305.99,0.10830006
   8314.92,0.10892596
   8323.85,0.10954914
   8332.78,0.11016959
   8341.71,0.11078727
   8350.64,0.11140221
   8359.57,0.11211842
   8368.50,0.11284018
   8377.43,0.11356047
   8386.36,0.11428939
   8395.30,0.11507428
   8404.23,0.11586999
   8413.16,0.11668923
   8422.09,0.11755155
   8431.02,0.11841418
   8439.95,0.11928817
   8448.88,0.12019859
   8457.81,0.12110942
   8466.74,0.12202170
   8475.67,0.12293787
   8484.60,0.12384499
   8493.54,0.12474380
   8502.47,0.12559011
   8511.40,0.12634834
   8520.33,0.12710711
   8529.26,0.12786625
   8538.19,0.12859365
   8547.12,0.12932124
   8556.05,0.13004898
   8564.98,0.13077684
   8573.91,0.13148061
   8582.85,0.13215045
   8591.78,0.13282175
   8600.71,0.13349528
   8609.64,0.13413413
   8618.57,0.13473280
   8627.50,0.13533054
   8636.43,0.13592136
   8645.36,0.13650895
   8654.29,0.13701255
   8663.22,0.13750809
   8672.15,0.13795312
   8681.09,0.13838458
   8690.02,0.13878781
   8698.95,0.13912884
   8707.88,0.13949249
   8716.81,0.13985528
   8725.74,0.14021671
   8734.67,0.14056082
   8743.60,0.14084080
   8752.53,0.14119084
   8761.46,0.14151859
   8770.39,0.14175185
   8779.33,0.14204445
   8788.26,0.14238969
   8797.19,0.14272838
   8806.12,0.14308998
   8815.05,0.14346642
   8823.98,0.14384041
   8832.91,0.14421188
   8841.84,0.14461785
   8850.77,0.14503384
   8859.70,0.14544833
   8868.63,0.14586076
   8877.57,0.14630063
   8886.50,0.14676595
   8895.43,0.14722976
   8904.36,0.14774533
   8913.29,0.14830586
   8922.22,0.14886590
   8931.15,0.14943598
   8940.08,0.15005846
   8949.01,0.15068085
   8957.94,0.15131799
   8966.87,0.15201629
   8975.81,0.15271581
   8984.74,0.15342918
   8993.67,0.15418562
   9002.60,0.15505508
   9011.53,0.15617658
   9020.46,0.15730311
   9029.39,0.15843379
   9038.32,0.15958365
   9047.25,0.16077348
   9056.18,0.16196648
   9065.11,0.16316273
   9074.05,0.16436555
   9082.98,0.16557590
   9091.91,0.16678947
   9100.84,0.16792923
   9109.77,0.16914186
   9118.70,0.17046224
   9127.63,0.17173183
   9136.56,0.17296157
   9145.49,0.17419321
   9154.42,0.17538111
   9163.35,0.17658825
   9172.29,0.17783082
   9181.22,0.17907678
   9190.15,0.18026276
   9199.08,0.18143485
   9208.01,0.18260115
   9216.94,0.18375126
   9225.87,0.18490370
   9234.80,0.18605812
   9243.73,0.18721030
   9252.66,0.18830262
   9261.60,0.18935428
   9270.53,0.19040682
   9279.46,0.19146009
   9288.39,0.19251443
   9297.32,0.19353136
   9306.25,0.19452183
   9315.18,0.19551864
   9324.11,0.19651580
   9333.04,0.19750024
   9341.97,0.19847940
   9350.90,0.19945492
   9359.84,0.20042865
   9368.77,0.20140255
   9377.70,0.20234149
   9386.63,0.20325833
   9395.56,0.20418049
   9404.49,0.20518846
   9413.42,0.20621312
   9422.35,0.20723806
   9431.28,0.20825825
   9440.21,0.20926452
   9449.14,0.21027104
   9458.08,0.21127905
   9467.01,0.21230775
   9475.94,0.21333926
   9484.87,0.21437104
   9493.80,0.21541024
   9502.73,0.21649553
   9511.66,0.21747030
   9520.59,0.21844124
   9529.52,0.21941349
   9538.45,0.22038703
   9547.38,0.22147976
   9556.32,0.22257660
   9565.25,0.22367569
   9574.18,0.22478049
   9583.11,0.22588776
   9592.04,0.22705085
   9600.97,0.22827956
   9609.90,0.22955016
   9618.83,0.23082466
   9627.76,0.23213351
   9636.69,0.23346268
   9645.62,0.23479627
   9654.56,0.23616076
   9663.49,0.23754126
   9672.42,0.23892641
   9681.35,0.24031473
   9690.28,0.24170715
   9699.21,0.24313798
   9708.14,0.24462685
   9717.07,0.24612479
   9726.00,0.24762827
   9734.93,0.24912851
   9743.86,0.25062332
   9752.80,0.25212336
   9761.73,0.25362930
   9770.66,0.25514081
   9779.59,0.25665770
   9788.52,0.25814592
   9797.45,0.25964030
   9806.38,0.26114562
   9815.31,0.26265406
   9824.24,0.26410074
   9833.17,0.26555222
   9842.11,0.26700685
   9851.04,0.26843143
   9859.97,0.26984620
   9868.90,0.27122083
   9877.83,0.27256529
   9886.76,0.27391333
   9895.69,0.27526479
   9904.62,0.27654901
   9913.55,0.27781768
   9922.48,0.27908886
   9931.41,0.28036318
   9940.35,0.28151671
   9949.28,0.28266450
   9958.21,0.28381525
   9967.14,0.28491605
   9976.07,0.28601693
   9985.00,0.28687969
   9993.93,0.28793447
  10002.86,0.28900141
  10011.79,0.28991165
  10020.72,0.29080127
  10029.65,0.29154526
  10038.59,0.29212111
  10047.52,0.29269179
  10056.45,0.29326276
  10065.38,0.29389025
  10074.31,0.29456294
  10083.24,0.29523509
  10092.17,0.29590552
  10101.10,0.29664872
  10110.03,0.29744275
  10118.96,0.29823455
  10127.89,0.29902660
  10136.83,0.29973550
  10145.76,0.30041791
  10154.69,0.30109986
  10163.62,0.30178087
  10172.55,0.30245848
  10181.48,0.30313148
  10190.41,0.30380351
  10199.34,0.30447454
  10208.27,0.30516115
  10217.20,0.30584845
  10226.13,0.30653407
  10235.07,0.30720613
  10244.00,0.30766155
  10252.93,0.30811435
  10261.86,0.30856497
  10270.79,0.30908296
  10279.72,0.30993525
