wave,tp
   9700.00,0.22463221
   9718.02,0.22076333
   9736.05,0.22006178
   9754.07,0.22338221
   9772.10,0.23041754
   9790.12,0.24092481
   9808.15,0.25244705
   9826.17,0.26428400
   9844.20,0.27464140
   9862.22,0.28326567
   9880.25,0.28948505
   9898.27,0.29279456
   9916.30,0.29429182
   9934.32,0.29487366
   9952.35,0.29532771
   9970.37,0.29579102
   9988.40,0.29717530
  10006.42,0.29924537
  10024.45,0.30153039
  10042.47,0.30478987
  10060.50,0.30806618
  10078.52,0.31155938
  10096.55,0.31503872
  10114.57,0.31808649
  10132.60,0.32047061
  10150.62,0.32226117
  10168.65,0.32368872
  10186.67,0.32406140
  10204.70,0.32463053
  10222.72,0.32505741
  10240.75,0.32540232
  10258.77,0.32619910
  10276.80,0.32718469
  10294.82,0.32875174
  10312.84,0.33105301
  10330.87,0.33408260
  10348.89,0.33766911
  10366.92,0.34155019
  10384.94,0.34572404
  10402.97,0.35025954
  10420.99,0.35470041
  10439.02,0.35932670
  10457.04,0.36325485
  10475.07,0.36708765
  10493.09,0.37007436
  10511.12,0.37259049
  10529.14,0.37439163
  10547.17,0.37559197
  10565.19,0.37621892
  10583.22,0.37676464
  10601.24,0.37692249
  10619.27,0.37709088
  10637.29,0.37743680
  10655.32,0.37786793
  10673.34,0.37870013
  10691.37,0.37966403
  10709.39,0.38090364
  10727.42,0.38248749
  10745.44,0.38474284
  10763.47,0.38731272
  10781.49,0.39023740
  10799.52,0.39352249
  10817.54,0.39682461
  10835.57,0.40023642
  10853.59,0.40380021
  10871.62,0.40733395
  10889.64,0.41089483
  10907.66,0.41392455
  10925.69,0.41687121
  10943.71,0.41976669
  10961.74,0.42230561
  10979.76,0.42456226
  10997.79,0.42660340
  11015.81,0.42828656
  11033.84,0.42963620
  11051.86,0.43099927
  11069.89,0.43238782
  11087.91,0.43367744
  11105.94,0.43511069
  11123.96,0.43681657
  11141.99,0.43855837
  11160.01,0.44041497
  11178.04,0.44289146
  11196.06,0.44537992
  11214.09,0.44782254
  11232.11,0.45077637
  11250.14,0.45389793
  11268.16,0.45715671
  11286.19,0.46062123
  11304.21,0.46410615
  11322.24,0.46764907
  11340.26,0.47090182
  11358.29,0.47384996
  11376.31,0.47668035
  11394.34,0.47977917
  11412.36,0.48221766
  11430.39,0.48442911
  11448.41,0.48636871
  11466.44,0.48808957
  11484.46,0.48978480
  11502.48,0.49100531
  11520.51,0.49156097
  11538.53,0.49211764
  11556.56,0.49254549
  11574.58,0.49276323
  11592.61,0.49308770
  11610.63,0.49348154
  11628.66,0.49397075
  11646.68,0.49479959
  11664.71,0.49558700
  11682.73,0.49635426
  11700.76,0.49752437
  11718.78,0.49884579
  11736.81,0.50029932
  11754.83,0.50189452
  11772.86,0.50363231
  11790.88,0.50543100
  11808.91,0.50723402
  11826.93,0.50903018
  11844.96,0.51082662
  11862.98,0.51288022
  11881.01,0.51507138
  11899.03,0.51675831
  11917.06,0.51839055
  11935.08,0.52002976
  11953.11,0.52134469
  11971.13,0.52225241
  11989.16,0.52315896
  12007.18,0.52389154
  12025.21,0.52364203
  12043.23,0.52336471
  12061.26,0.52305782
  12079.28,0.52274920
  12097.31,0.52243413
  12115.33,0.52204705
  12133.35,0.52164655
  12151.38,0.52143906
  12169.40,0.52124243
  12187.43,0.52104383
  12205.45,0.52102965
  12223.48,0.52114693
  12241.50,0.52126175
  12259.53,0.52139235
  12277.55,0.52209873
  12295.58,0.52280277
  12313.60,0.52349703
  12331.63,0.52443807
  12349.65,0.52558336
  12367.68,0.52672682
  12385.70,0.52787751
  12403.73,0.52901410
  12421.75,0.53012533
  12439.78,0.53131105
  12457.80,0.53248814
  12475.83,0.53366817
  12493.85,0.53483107
  12511.88,0.53573374
  12529.90,0.53650272
  12547.93,0.53710054
  12565.95,0.53733240
  12583.98,0.53757125
  12602.00,0.53776975
  12620.03,0.53733490
  12638.05,0.53681972
  12656.08,0.53630046
  12674.10,0.53578044
  12692.13,0.53525813
  12710.15,0.53461193
  12728.17,0.53389548
  12746.20,0.53317710
  12764.22,0.53224460
  12782.25,0.53018755
  12800.27,0.52861315
  12818.30,0.52769700
  12836.32,0.52677632
  12854.35,0.52585467
  12872.37,0.52554414
  12890.40,0.52528797
  12908.42,0.52503505
  12926.45,0.52478965
  12944.47,0.52455080
  12962.50,0.52449109
  12980.52,0.52447942
  12998.55,0.52441409
  13016.57,0.52412423
  13034.60,0.52382306
  13052.62,0.52402699
  13070.65,0.52475929
  13088.67,0.52549960
  13106.70,0.52623289
  13124.72,0.52654469
  13142.75,0.52684399
  13160.77,0.52711765
  13178.80,0.52739633
  13196.82,0.52766942
  13214.85,0.52787098
  13232.87,0.52806092
  13250.90,0.52824792
  13268.92,0.52824293
  13286.95,0.52768636
  13304.97,0.52713494
  13322.99,0.52658031
  13341.02,0.52572338
  13359.04,0.52479266
  13377.07,0.52387365
  13395.09,0.52278169
  13413.12,0.52131567
  13431.14,0.51982820
  13449.17,0.51833840
  13467.19,0.51700671
  13485.22,0.51573541
  13503.24,0.51446007
  13521.27,0.51301566
  13539.29,0.51128214
  13557.32,0.50953767
  13575.34,0.50779488
  13593.37,0.50608408
  13611.39,0.50440996
