wave,tp
  16600.00,0.24037305
  16629.27,0.24598011
  16658.53,0.25328260
  16687.80,0.25497305
  16717.07,0.25669040
  16746.34,0.25768512
  16775.60,0.25821510
  16804.87,0.25846583
  16834.14,0.25757361
  16863.41,0.25655077
  16892.67,0.25539263
  16921.94,0.25495887
  16951.21,0.25464044
  16980.48,0.25469751
  17009.74,0.25554156
  17039.01,0.25646038
  17068.28,0.25786909
  17097.54,0.25928733
  17126.81,0.26135779
  17156.08,0.26382143
  17185.35,0.26657213
  17214.61,0.26936709
  17243.88,0.27264190
  17273.15,0.27630333
  17302.42,0.27997085
  17331.68,0.28385605
  17360.95,0.28858023
  17390.22,0.29332113
  17419.49,0.29693620
  17448.75,0.30028226
  17478.02,0.30365487
  17507.29,0.30711909
  17536.55,0.31060825
  17565.82,0.31396197
  17595.09,0.31724764
  17624.36,0.32019463
  17653.62,0.32246601
  17682.89,0.32430037
  17712.16,0.32602920
  17741.43,0.32710297
  17770.69,0.32817783
  17799.96,0.32914535
  17829.23,0.33010227
  17858.50,0.33073985
  17887.76,0.33049480
  17917.03,0.33077001
  17946.30,0.33133720
  17975.56,0.33189895
  18004.83,0.33236276
  18034.10,0.33236520
  18063.37,0.33296280
  18092.63,0.33375010
  18121.90,0.33472354
  18151.17,0.33613328
  18180.44,0.33753376
  18209.70,0.33897910
  18238.97,0.34118767
  18268.24,0.34339735
  18297.51,0.34615459
  18326.77,0.34939507
  18356.04,0.35229601
  18385.31,0.35524812
  18414.57,0.35824957
  18443.84,0.36188353
  18473.11,0.36580808
  18502.38,0.36957123
  18531.64,0.37265322
  18560.91,0.37577238
  18590.18,0.38010176
  18619.45,0.38251381
  18648.71,0.38492438
  18677.98,0.38750886
  18707.25,0.39011931
  18736.52,0.39279491
  18765.78,0.39500835
  18795.05,0.39693752
  18824.32,0.39873736
  18853.58,0.40058025
  18882.85,0.40191140
  18912.12,0.40327708
  18941.39,0.40462784
  18970.65,0.40592274
  18999.92,0.40722162
  19029.19,0.40825704
  19058.46,0.40908972
  19087.72,0.40991456
  19116.99,0.41067792
  19146.26,0.41142373
  19175.53,0.41225794
  19204.79,0.41320611
  19234.06,0.41413765
  19263.33,0.41535719
  19292.59,0.41657014
  19321.86,0.41789733
  19351.13,0.41943234
  19380.40,0.42108505
  19409.66,0.42282300
  19438.93,0.42472749
  19468.20,0.42664707
  19497.47,0.42861767
  19526.73,0.43024801
  19556.00,0.43179503
  19585.27,0.43350841
  19614.54,0.43536341
  19643.80,0.43726973
  19673.07,0.43914042
  19702.34,0.44069989
  19731.60,0.44208050
  19760.87,0.44350949
  19790.14,0.44488479
  19819.41,0.44600408
  19848.67,0.44713668
  19877.94,0.44823993
  19907.21,0.44935588
  19936.48,0.45046443
  19965.74,0.45144723
  19995.01,0.45191146
  20024.28,0.45259198
  20053.55,0.45336307
  20082.81,0.45414830
  20112.08,0.45494519
  20141.35,0.45569864
  20170.61,0.45664101
  20199.88,0.45761435
  20229.15,0.45861156
  20258.42,0.45956392
  20287.68,0.46051905
  20316.95,0.46167119
  20346.22,0.46283820
  20375.49,0.46392508
  20404.75,0.46502493
  20434.02,0.46651177
  20463.29,0.46800094
  20492.56,0.46949446
  20521.82,0.47090308
