wave,tp
  28700.00,0.27234451
  28746.25,0.27974851
  28792.49,0.28718109
  28838.74,0.29464276
  28884.98,0.30216074
  28931.23,0.30976341
  28977.47,0.31799533
  29023.72,0.32626178
  29069.97,0.33452986
  29116.21,0.34285535
  29162.46,0.34839118
  29208.70,0.35339827
  29254.95,0.35841219
  29301.19,0.36343529
  29347.44,0.36847711
  29393.69,0.37342758
  29439.93,0.37845553
  29486.18,0.38354532
  29532.42,0.38864096
  29578.67,0.39322128
  29624.91,0.39779380
  29671.16,0.40240545
  29717.41,0.40701058
  29763.65,0.41062011
  29809.90,0.41396007
  29856.14,0.41732840
  29902.39,0.42052895
  29948.63,0.42340804
  29994.88,0.42630215
  30041.13,0.42751597
  30087.37,0.42837725
  30133.62,0.42919804
  30179.86,0.42978658
  30226.11,0.43033723
  30272.35,0.43088989
  30318.60,0.43146357
  30364.84,0.43205332
  30411.09,0.43235338
  30457.34,0.43268990
  30503.58,0.43287700
  30549.83,0.43123316
  30596.07,0.42964349
  30642.32,0.42809437
  30688.56,0.42656147
  30734.81,0.42498622
  30781.06,0.42339843
  30827.30,0.42183753
  30873.55,0.42033434
  30919.79,0.41882973
  30966.04,0.41730118
  31012.28,0.41701930
  31058.53,0.42029220
  31104.78,0.42365194
  31151.02,0.42705417
  31197.27,0.43047622
  31243.51,0.43392982
  31289.76,0.43730160
  31336.00,0.44059523
  31382.25,0.44387381
  31428.50,0.44718677
  31474.74,0.45052686
  31520.99,0.45444149
  31567.23,0.45906817
  31613.48,0.46372907
  31659.72,0.46843519
  31705.97,0.47317032
  31752.22,0.47793632
  31798.46,0.48262129
  31844.71,0.48723723
  31890.95,0.49184300
  31937.20,0.49645243
  31983.44,0.50105285
  32029.69,0.50418600
  32075.94,0.50628874
  32122.18,0.50838127
  32168.43,0.51047028
  32214.67,0.51260387
  32260.92,0.51469436
  32307.16,0.51673615
  32353.41,0.51883601
  32399.66,0.52094148
  32445.90,0.52301187
  32492.15,0.52495086
  32538.39,0.52626093
  32584.64,0.52745101
  32630.88,0.52859868
  32677.13,0.52973419
  32723.38,0.53091833
  32769.62,0.53213796
  32815.87,0.53328943
  32862.11,0.53441549
  32908.36,0.53553844
  32954.60,0.53666602
  33000.85,0.53779583
  33047.09,0.53856575
  33093.34,0.53934424
  33139.59,0.54009824
  33185.83,0.54082973
  33232.08,0.54159445
  33278.32,0.54238586
  33324.57,0.54315846
  33370.81,0.54390588
  33417.06,0.54465360
  33463.31,0.54547871
  33509.55,0.54639733
  33555.80,0.54720349
  33602.04,0.54801128
  33648.29,0.54880812
  33694.53,0.54956448
  33740.78,0.55029033
  33787.03,0.55100439
  33833.27,0.55170688
  33879.52,0.55240112
