wave,tp
  29650.00,0.00078400
  29652.40,0.00068400
  29654.80,0.00062500
  29657.20,0.00060000
  29659.60,0.00060200
  29662.00,0.00062700
  29664.40,0.00066700
  29666.80,0.00071700
  29669.20,0.00077000
  29671.60,0.00082000
  29674.00,0.00086000
  29676.41,0.00088500
  29678.81,0.00088800
  29681.21,0.00086400
  29683.61,0.00081300
  29686.01,0.00074200
  29688.41,0.00065800
  29690.81,0.00057000
  29693.21,0.00048400
  29695.61,0.00040900
  29698.01,0.00035000
  29700.41,0.00031700
  29702.81,0.00031300
  29705.21,0.00033100
  29707.61,0.00036300
  29710.01,0.00040300
  29712.41,0.00044300
  29714.81,0.00047500
  29717.21,0.00049100
  29719.61,0.00048500
  29722.01,0.00045000
  29724.41,0.00039600
  29726.82,0.00033600
  29729.22,0.00028600
  29731.62,0.00025900
  29734.02,0.00025700
  29736.42,0.00027600
  29738.82,0.00031100
  29741.22,0.00035900
  29743.62,0.00041500
  29746.02,0.00047300
  29748.42,0.00053000
  29750.82,0.00058200
  29753.22,0.00062500
  29755.62,0.00066100
  29758.02,0.00069100
  29760.42,0.00071700
  29762.82,0.00073900
  29765.22,0.00075800
  29767.62,0.00077700
  29770.02,0.00079500
  29772.42,0.00081400
  29774.82,0.00083400
  29777.23,0.00085200
  29779.63,0.00086900
  29782.03,0.00088200
  29784.43,0.00089300
  29786.83,0.00090200
  29789.23,0.00090900
  29791.63,0.00091500
  29794.03,0.00092000
  29796.43,0.00092600
  29798.83,0.00093200
  29801.23,0.00094000
  29803.63,0.00094900
  29806.03,0.00095900
  29808.43,0.00097100
  29810.83,0.00098300
  29813.23,0.00099500
  29815.63,0.00100700
  29818.03,0.00102000
  29820.43,0.00103200
  29822.83,0.00104400
  29825.24,0.00105300
  29827.64,0.00106100
  29830.04,0.00106400
  29832.44,0.00106300
  29834.84,0.00105600
  29837.24,0.00104200
  29839.64,0.00102100
  29842.04,0.00099100
  29844.44,0.00095600
  29846.84,0.00091800
  29849.24,0.00088100
  29851.64,0.00084800
  29854.04,0.00082000
  29856.44,0.00079500
  29858.84,0.00077400
  29861.24,0.00075400
  29863.64,0.00073600
  29866.04,0.00071900
  29868.44,0.00070000
  29870.84,0.00068100
  29873.24,0.00066000
  29875.65,0.00064000
  29878.05,0.00062200
  29880.45,0.00060700
  29882.85,0.00059900
  29885.25,0.00059800
  29887.65,0.00060600
  29890.05,0.00062400
  29892.45,0.00065500
  29894.85,0.00069400
  29897.25,0.00073700
  29899.65,0.00078100
  29902.05,0.00082100
  29904.45,0.00085700
  29906.85,0.00089000
  29909.25,0.00091900
  29911.65,0.00094500
  29914.05,0.00096700
  29916.45,0.00098700
  29918.85,0.00100500
  29921.25,0.00102100
  29923.65,0.00103500
  29926.06,0.00104700
  29928.46,0.00105800
  29930.86,0.00106800
  29933.26,0.00107700
  29935.66,0.00108500
  29938.06,0.00109300
  29940.46,0.00110000
  29942.86,0.00110800
  29945.26,0.00111400
  29947.66,0.00111700
  29950.06,0.00111800
  29952.46,0.00111400
  29954.86,0.00110400
  29957.26,0.00108800
  29959.66,0.00106400
  29962.06,0.00103200
  29964.46,0.00099100
  29966.86,0.00094300
  29969.26,0.00088700
  29971.66,0.00082400
  29974.06,0.00075700
  29976.47,0.00068900
  29978.87,0.00062400
  29981.27,0.00056600
  29983.67,0.00051800
  29986.07,0.00048400
  29988.47,0.00046800
  29990.87,0.00047400
  29993.27,0.00050000
  29995.67,0.00054400
  29998.07,0.00060100
  30000.47,0.00066500
  30002.87,0.00073100
  30005.27,0.00079500
  30007.67,0.00085300
  30010.07,0.00089800
  30012.47,0.00092800
  30014.87,0.00094100
  30017.27,0.00093700
  30019.67,0.00091700
  30022.07,0.00087900
  30024.47,0.00082400
  30026.88,0.00075100
  30029.28,0.00066200
  30031.68,0.00055500
  30034.08,0.00043700
  30036.48,0.00031900
  30038.88,0.00021000
  30041.28,0.00012000
  30043.68,0.00005300
  30046.08,0.00000700
  30048.48,0.00000000
  30050.88,0.00000000
  30053.28,0.00000000
  30055.68,0.00000000
  30058.08,0.00001700
  30060.48,0.00005200
  30062.88,0.00009300
  30065.28,0.00013900
  30067.68,0.00018800
  30070.08,0.00023900
  30072.48,0.00028900
  30074.88,0.00033800
  30077.29,0.00038400
  30079.69,0.00042500
  30082.09,0.00046000
  30084.49,0.00048700
  30086.89,0.00050800
  30089.29,0.00052000
  30091.69,0.00052300
  30094.09,0.00051700
  30096.49,0.00050100
  30098.89,0.00047600
  30101.29,0.00043900
  30103.69,0.00039600
  30106.09,0.00035500
  30108.49,0.00032300
  30110.89,0.00030900
  30113.29,0.00031600
  30115.69,0.00033900
  30118.09,0.00037300
  30120.49,0.00041200
  30122.89,0.00045100
  30125.30,0.00048500
  30127.70,0.00050900
  30130.10,0.00051700
  30132.50,0.00050600
  30134.90,0.00048000
  30137.30,0.00044200
  30139.70,0.00039800
  30142.10,0.00035200
  30144.50,0.00030900
  30146.90,0.00027400
  30149.30,0.00025000
  30151.70,0.00024300
  30154.10,0.00025100
  30156.50,0.00027200
  30158.90,0.00030200
  30161.30,0.00033800
  30163.70,0.00037700
  30166.10,0.00041500
  30168.50,0.00045000
  30170.90,0.00047900
  30173.30,0.00049900
  30175.71,0.00051200
  30178.11,0.00051900
  30180.51,0.00052200
  30182.91,0.00052200
  30185.31,0.00052000
  30187.71,0.00051500
  30190.11,0.00050900
  30192.51,0.00050100
  30194.91,0.00049200
  30197.31,0.00048400
  30199.71,0.00047500
  30202.11,0.00046700
  30204.51,0.00045900
  30206.91,0.00045200
  30209.31,0.00044500
  30211.71,0.00043800
  30214.11,0.00043100
  30216.51,0.00042400
  30218.91,0.00041700
  30221.31,0.00040900
  30223.71,0.00040000
  30226.12,0.00039300
  30228.52,0.00038700
  30230.92,0.00038300
  30233.32,0.00038200
  30235.72,0.00038500
  30238.12,0.00039200
  30240.52,0.00040400
  30242.92,0.00042100
  30245.32,0.00044100
  30247.72,0.00046000
  30250.12,0.00047600
  30252.52,0.00048600
  30254.92,0.00049000
  30257.32,0.00049100
  30259.72,0.00048800
  30262.12,0.00048200
  30264.52,0.00047400
  30266.92,0.00046500
  30269.32,0.00045600
  30271.72,0.00044800
  30274.12,0.00044100
  30276.53,0.00043500
  30278.93,0.00043100
  30281.33,0.00042700
  30283.73,0.00042500
  30286.13,0.00042500
  30288.53,0.00042600
  30290.93,0.00042900
  30293.33,0.00043400
  30295.73,0.00044100
  30298.13,0.00045000
  30300.53,0.00046200
  30302.93,0.00047600
  30305.33,0.00049200
  30307.73,0.00051200
  30310.13,0.00053500
  30312.53,0.00056100
  30314.93,0.00058700
  30317.33,0.00061100
  30319.73,0.00063000
  30322.13,0.00064200
  30324.53,0.00064600
  30326.94,0.00064400
  30329.34,0.00063600
  30331.74,0.00062400
  30334.14,0.00060800
  30336.54,0.00058800
  30338.94,0.00056700
  30341.34,0.00054400
  30343.74,0.00052100
  30346.14,0.00049700
  30348.54,0.00047200
  30350.94,0.00044700
  30353.34,0.00042200
  30355.74,0.00039800
  30358.14,0.00037300
  30360.54,0.00035000
  30362.94,0.00032700
  30365.34,0.00030500
  30367.74,0.00028500
  30370.14,0.00026700
  30372.54,0.00025100
  30374.94,0.00023900
  30377.35,0.00022900
  30379.75,0.00022400
  30382.15,0.00022300
  30384.55,0.00022600
  30386.95,0.00023200
  30389.35,0.00024100
  30391.75,0.00025200
  30394.15,0.00026300
  30396.55,0.00027600
  30398.95,0.00028900
  30401.35,0.00030100
  30403.75,0.00031200
  30406.15,0.00032200
  30408.55,0.00033100
  30410.95,0.00033900
  30413.35,0.00034500
  30415.75,0.00035000
  30418.15,0.00035200
  30420.55,0.00035100
  30422.95,0.00034600
  30425.36,0.00033700
  30427.76,0.00032300
  30430.16,0.00030500
  30432.56,0.00028100
  30434.96,0.00025400
  30437.36,0.00022700
  30439.76,0.00020300
  30442.16,0.00018300
  30444.56,0.00017100
  30446.96,0.00017000
  30449.36,0.00018100
  30451.76,0.00020800
  30454.16,0.00024800
  30456.56,0.00029600
  30458.96,0.00034900
  30461.36,0.00040100
  30463.76,0.00044800
  30466.16,0.00048600
  30468.56,0.00051100
  30470.96,0.00051700
  30473.36,0.00050600
  30475.77,0.00048200
  30478.17,0.00045300
  30480.57,0.00042500
  30482.97,0.00040100
  30485.37,0.00038200
  30487.77,0.00036700
  30490.17,0.00035500
  30492.57,0.00034500
  30494.97,0.00033600
  30497.37,0.00032700
  30499.77,0.00031900
  30502.17,0.00030900
  30504.57,0.00029900
  30506.97,0.00028900
  30509.37,0.00027800
  30511.77,0.00026800
  30514.17,0.00026000
  30516.57,0.00025300
  30518.97,0.00024700
  30521.37,0.00024500
  30523.77,0.00024500
  30526.18,0.00024700
  30528.58,0.00025100
  30530.98,0.00025600
  30533.38,0.00026400
  30535.78,0.00027200
  30538.18,0.00028100
  30540.58,0.00029100
  30542.98,0.00030200
  30545.38,0.00031400
  30547.78,0.00032600
  30550.18,0.00034100
  30552.58,0.00035700
  30554.98,0.00037600
  30557.38,0.00039700
  30559.78,0.00042100
  30562.18,0.00044800
  30564.58,0.00047600
  30566.98,0.00050300
  30569.38,0.00052600
  30571.78,0.00054300
  30574.18,0.00055500
  30576.59,0.00056000
  30578.99,0.00056000
  30581.39,0.00055500
  30583.79,0.00054600
  30586.19,0.00053200
  30588.59,0.00051500
  30590.99,0.00049400
  30593.39,0.00047100
  30595.79,0.00044700
  30598.19,0.00042100
  30600.59,0.00039700
  30602.99,0.00037400
  30605.39,0.00035400
  30607.79,0.00033800
  30610.19,0.00032600
  30612.59,0.00032000
  30614.99,0.00032000
  30617.39,0.00032400
  30619.79,0.00033200
  30622.19,0.00034400
  30624.59,0.00036000
  30627.00,0.00037800
  30629.40,0.00039800
  30631.80,0.00042100
  30634.20,0.00044500
  30636.60,0.00046900
  30639.00,0.00049300
  30641.40,0.00051500
  30643.80,0.00053600
  30646.20,0.00055400
  30648.60,0.00056900
  30651.00,0.00058000
  30653.40,0.00058700
  30655.80,0.00059000
  30658.20,0.00059100
  30660.60,0.00059000
  30663.00,0.00058800
  30665.40,0.00058500
  30667.80,0.00058400
  30670.20,0.00058400
  30672.60,0.00058600
  30675.01,0.00058900
  30677.41,0.00059100
  30679.81,0.00059100
  30682.21,0.00058800
  30684.61,0.00058300
  30687.01,0.00057500
  30689.41,0.00056700
  30691.81,0.00056000
  30694.21,0.00055300
  30696.61,0.00054800
  30699.01,0.00054700
  30701.41,0.00054900
  30703.81,0.00055400
  30706.21,0.00056200
  30708.61,0.00057000
  30711.01,0.00057700
  30713.41,0.00058200
  30715.81,0.00058300
  30718.21,0.00057800
  30720.61,0.00056700
  30723.01,0.00054900
  30725.42,0.00052600
  30727.82,0.00050000
  30730.22,0.00047200
  30732.62,0.00044500
  30735.02,0.00042000
  30737.42,0.00040100
  30739.82,0.00038800
  30742.22,0.00038300
  30744.62,0.00038500
  30747.02,0.00039200
  30749.42,0.00040100
  30751.82,0.00041100
  30754.22,0.00041800
  30756.62,0.00042200
  30759.02,0.00041900
  30761.42,0.00040700
  30763.82,0.00038900
  30766.22,0.00036900
  30768.62,0.00035100
  30771.02,0.00033900
  30773.42,0.00033700
  30775.83,0.00034100
  30778.23,0.00034900
  30780.63,0.00036100
  30783.03,0.00037400
  30785.43,0.00038500
  30787.83,0.00039400
  30790.23,0.00039800
  30792.63,0.00039600
  30795.03,0.00038800
  30797.43,0.00037700
  30799.83,0.00036300
  30802.23,0.00034700
  30804.63,0.00033200
  30807.03,0.00031700
  30809.43,0.00030400
  30811.83,0.00029600
  30814.23,0.00029000
  30816.63,0.00028700
  30819.03,0.00028500
  30821.43,0.00028500
  30823.83,0.00028400
  30826.24,0.00028400
  30828.64,0.00028100
  30831.04,0.00027700
  30833.44,0.00027000
  30835.84,0.00026100
  30838.24,0.00025000
  30840.64,0.00023900
  30843.04,0.00022600
  30845.44,0.00021400
