wave,tp
   5670.00,0.00000000
   5680.00,0.00010376
   5690.00,0.00013632
   5700.00,0.00018166
   5710.00,0.00024546
   5720.00,0.00033674
   5730.00,0.00046958
   5740.00,0.00066615
   5750.00,0.00096281
   5760.00,0.00141970
   5770.00,0.00213940
   5780.00,0.00330160
   5790.00,0.00522900
   5800.00,0.00851750
   5810.00,0.01429400
   5820.00,0.02471600
   5830.00,0.04384500
   5840.00,0.07866900
   5850.00,0.13808000
   5860.00,0.22389000
   5870.00,0.31647000
   5880.00,0.38681000
   5890.00,0.42959000
   5900.00,0.45957000
   5910.00,0.49070000
   5920.00,0.52992000
   5930.00,0.57909000
   5940.00,0.63664000
   5950.00,0.69842000
   5960.00,0.75855000
   5970.00,0.81102000
   5980.00,0.85157000
   5990.00,0.87899000
   6000.00,0.89486000
   6010.00,0.90246000
   6020.00,0.90510000
   6030.00,0.90551000
   6040.00,0.90547000
   6050.00,0.90588000
   6060.00,0.90698000
   6070.00,0.90863000
   6080.00,0.91051000
   6090.00,0.91228000
   6100.00,0.91370000
   6110.00,0.91465000
   6120.00,0.91518000
   6130.00,0.91541000
   6140.00,0.91546000
   6150.00,0.91551000
   6160.00,0.91569000
   6170.00,0.91608000
   6180.00,0.91673000
   6190.00,0.91761000
   6200.00,0.91867000
   6210.00,0.91984000
   6220.00,0.92100000
   6230.00,0.92208000
   6240.00,0.92300000
   6250.00,0.92372000
   6260.00,0.92423000
   6270.00,0.92455000
   6280.00,0.92473000
   6290.00,0.92482000
   6300.00,0.92489000
   6310.00,0.92501000
   6320.00,0.92522000
   6330.00,0.92557000
   6340.00,0.92608000
   6350.00,0.92673000
   6360.00,0.92752000
   6370.00,0.92841000
   6380.00,0.92936000
   6390.00,0.93031000
   6400.00,0.93123000
   6410.00,0.93207000
   6420.00,0.93281000
   6430.00,0.93344000
   6440.00,0.93395000
   6450.00,0.93435000
   6460.00,0.93467000
   6470.00,0.93494000
   6480.00,0.93519000
   6490.00,0.93546000
   6500.00,0.93578000
   6510.00,0.93601000
   6520.00,0.93633000
   6530.00,0.93674000
   6540.00,0.93725000
   6550.00,0.93785000
   6560.00,0.93850000
   6570.00,0.93920000
   6580.00,0.93991000
   6590.00,0.94060000
   6600.00,0.94125000
   6610.00,0.94184000
   6620.00,0.94235000
   6630.00,0.94277000
   6640.00,0.94311000
   6650.00,0.94338000
   6660.00,0.94358000
   6670.00,0.94375000
   6680.00,0.94389000
   6690.00,0.94404000
   6700.00,0.94421000
   6710.00,0.94443000
   6720.00,0.94471000
   6730.00,0.94507000
   6740.00,0.94551000
   6750.00,0.94603000
   6760.00,0.94662000
   6770.00,0.94726000
   6780.00,0.94795000
   6790.00,0.94865000
   6800.00,0.94935000
   6810.00,0.95002000
   6820.00,0.95064000
   6830.00,0.95120000
   6840.00,0.95168000
   6850.00,0.95207000
   6860.00,0.95238000
   6870.00,0.95259000
   6880.00,0.95273000
   6890.00,0.95280000
   6900.00,0.95282000
   6910.00,0.95281000
   6920.00,0.95279000
   6930.00,0.95279000
   6940.00,0.95282000
   6950.00,0.95291000
   6960.00,0.95306000
   6970.00,0.95329000
   6980.00,0.95361000
   6990.00,0.95402000
   7000.00,0.95450000
   7010.00,0.95473000
   7020.00,0.95502000
   7030.00,0.95535000
   7040.00,0.95571000
   7050.00,0.95608000
   7060.00,0.95644000
   7070.00,0.95678000
   7080.00,0.95707000
   7090.00,0.95732000
   7100.00,0.95749000
   7110.00,0.95760000
   7120.00,0.95763000
   7130.00,0.95758000
   7140.00,0.95745000
   7150.00,0.95726000
   7160.00,0.95701000
   7170.00,0.95672000
   7180.00,0.95640000
   7190.00,0.95606000
   7200.00,0.95572000
   7210.00,0.95610000
   7220.00,0.95651000
   7230.00,0.95696000
   7240.00,0.95746000
   7250.00,0.95802000
   7260.00,0.95865000
   7270.00,0.95935000
   7280.00,0.96012000
   7290.00,0.96095000
   7300.00,0.96185000
   7310.00,0.96280000
   7320.00,0.96379000
   7330.00,0.96481000
   7340.00,0.96585000
   7350.00,0.96689000
   7360.00,0.96793000
   7370.00,0.96895000
   7380.00,0.96994000
   7390.00,0.97090000
   7400.00,0.97180000
   7410.00,0.97241000
   7420.00,0.97297000
   7430.00,0.97347000
   7440.00,0.97391000
   7450.00,0.97431000
   7460.00,0.97467000
   7470.00,0.97500000
   7480.00,0.97530000
   7490.00,0.97558000
   7500.00,0.97585000
   7510.00,0.97613000
   7520.00,0.97643000
   7530.00,0.97674000
